nama pengguna,produk,review,rating,waktu transaksi
devinlim37,FortKlass Kaos Oversize 24S RANTAI T-Shirt Cowok Premium Kaos Pria Lengan Pendek Jumbo,,5,2024-08-12 00:00
yofanprastyo,FortKlass Kaos Polos Oversize Fit T-Shirt Pria Cowo Cowok Premium Katun Combed 24S Best Seller,,5,2024-08-11 23:44
dzaki1401,Fortklass Jaket Sukajan Crane Sablon Jaket Pria Wanita Distro Unisex Japan Premium Original,,5,2024-08-11 23:40
e*****e,FortKlass Hawai ONE PIECE ZORO ASHURA ANIME MANGA LUFFY CHOPER SANJI Kemeja Pantai Pria Hawai Cowok Bali REGGAE Cowok Pendek Satai Rayon Halus,,5,2024-08-11 23:32
a*****a,FortKlass Kaos LINE YOUTH Pria Katun Combed 24s Reguler Fit Kaos Pria Lengan Pendek Unisex,"Warna:sesuai
Desain:elegan
Kenyamanan:nyaman

Bagus kaosnya, pas untuk anak saya usia 12 tahun",5,2024-08-11 23:29
sera_ela,FortKlass Kaos Oversize 24S RANTAI T-Shirt Cowok Premium Kaos Pria Lengan Pendek Jumbo,,4,2024-08-11 23:23
sera_ela,FortKlass Kaos LINE Pria Katun Combed 24s Reguler Fit Kaos Pria Lengan Pendek Unisex,,4,2024-08-11 23:23
diekw,FortKlass Kaos SNOW Regular Fit Combed 24s Kaos Sablon Pria Lengan Pendek Atasan Tshirt Distro Cowok,,4,2024-08-11 23:22
fitrimuthiabuanjet,FortKlass Kaos Polos Oversize Fit T-Shirt Pria Cowo Cowok Premium Katun Combed 24S Best Seller,,4,2024-08-11 23:20
rikicepekuw,FortKlass Kaos Polos Oversize Fit T-Shirt Pria Cowo Cowok Premium Katun Combed 24S Best Seller,,5,2024-08-11 23:01
dahliaembo,FortKlass Kaos Oversize SPORTY 89 T-Shirt Cowok Premium Kaos Pria Lengan Pendek Jumbo,"Desain:bagus
Warna:bagus
Kenyamanan:bahan aga ksar",4,2024-08-11 22:56
jilanputriand,FortKlass Kaos KANTONG Regular Fit Kaos T-Shirt 24s Cowok Premium Katun Combed 24S unisex,,5,2024-08-11 22:46
jilanputriand,FortKlass Kaos Polos Pria Katun Combed 24s Reguler Fit Kaos Pria Lengan Pendek Unisex Tshirt,,5,2024-08-11 22:46
b0wzgcnkpk,FortKlass Kaos SPORTY Regular Fit Kaos Sablon 24S 30S Kaos Pria Lengan Pendek Atasan Tshirt Distro,,5,2024-08-11 22:33
rizalipan18,FortKlass Kaos LEONEL Pria Katun Combed 24s Reguler Fit Kaos Pria Lengan Pendek Unisex,,5,2024-08-11 22:31
mutiaww_18,FortKlass Kaos LEONEL Pria Katun Combed 24s Reguler Fit Kaos Pria Lengan Pendek Unisex,"Desain:Menawan
Warna:Beige
Kenyamanan:Nyaman

Hallo makasih banyak yah udah dateng baju buat suami aku hihi semoga dia suka aku beli buat kado sebentar lagi dia ulang tahun minta doanya yah semoga dia sehat selalu panjang umur dan panjang rezeki aamiin",5,2024-08-11 22:22
rikanaelis,FortKlass Kaos Oversize 24S RANTAI T-Shirt Cowok Premium Kaos Pria Lengan Pendek Jumbo,,5,2024-08-11 22:20
edipekanbaru28,FortKlass TRAFALGAR Jaket Coach Jaket Zipper Pria Jaket Parasut Unisex,Sangat cocok,5,2024-08-11 22:12
siceria88,FortKlass Kemeja Rayon Polos Pria Lengan Pendek Hem Pria Kemeja pantai santai kasual casual Hitam Putih Navy Earth Tone DIstro Kemeja Tangan Pendek Polos nongkrong,,4,2024-08-11 21:57
rioidhoubhan,FortKlass Kaos Oversize Wash BROOK Kaos Oversize Pria Lengan Pendek Atasan Tshirt Distro Cowok Kaos Pria Kaos Polos Bigsize,,4,2024-08-11 21:52
2g4gngzq89,FortKlass kelvin kemeja polos pria lengan panjang formal slimfit cowok formal slimfit cowok cowo Kemeja Tangan Panjang Formal Kantor Kerja Hem Pria Trendy Terlaris COD Free Ongkir Kamaja Polos Interview,,4,2024-08-11 21:49
uink.bukhori,FortKlass Kaos Polos Pria Katun Combed 24s Reguler Fit Kaos Pria Lengan Pendek Unisex Tshirt,,5,2024-08-11 21:46
uink.bukhori,FortKlass Kaos Oversize BAG T-Shirt Cowok Premium Kaos Pria Lengan Pendek Jumbo Kaos Combed 24S,,5,2024-08-11 21:46
yuna012431,FortKlass Kaos Oversize SPORTY 89 T-Shirt Cowok Premium Kaos Pria Lengan Pendek Jumbo,,5,2024-08-11 21:36
yuna012431,FortKlass Kaos Oversize GUARDIAN WING T-Shirt Cowok Premium,,5,2024-08-11 21:36
yuna012431,FortKlass Kaos Oversize LIVEYOUR T-Shirt Cowok Premium Kaos Pria Lengan Pendek Jumbo Kaos Distro,,5,2024-08-11 21:36
yuna012431,FortKlass Kaos Oversize CHRISTMAS STREET T-Shirt Cowok Premium,"Ini salah satu bju yg ak beli, ak beli 5 kaos ukuran XL dan L, bhan nya oke ga panas desainnya  bagus keren ccok buat cwek/ cwok oversizenya ga nanggung pas puas bnget pkoknya recommend bnget… mngkin next bkal order lagi thank u💓💓",5,2024-08-11 21:36
a*****7,FortKlass Kaos LEONEL Pria Katun Combed 24s Reguler Fit Kaos Pria Lengan Pendek Unisex,,5,2024-08-11 21:34
ummuukasyah489,FortKlass Kaos Polos Pria Katun Combed 24s Reguler Fit Kaos Pria Lengan Pendek Unisex Tshirt,,5,2024-08-11 21:32
hiskia10,FortKlass Kaos Oversize 24S RANTAI T-Shirt Cowok Premium Kaos Pria Lengan Pendek Jumbo,,5,2024-08-11 21:28
n*****7,FortKlass Kaos Oversize HAKONE T-Shirt Cowok Premium Kaos Pria Lengan Pendek Jumbo Kaos Kerah Pria,,5,2024-08-11 21:27
g*****a,FortKlass Kaos LEONEL Pria Katun Combed 24s Reguler Fit Kaos Pria Lengan Pendek Unisex,,5,2024-08-11 21:23
zejg_wrfzh,FortKlass Kaos Oversize Life Work Color Pitbul Frenchie French Buldog T-Shirt Cowok Distro,"Warna:Hitam
Desain:bagus
Bahan:lumayan

Bagus tp sayang sablonan nya kurang rapi",4,2024-08-11 21:16
nandho1995,FortKlass Kaos Polos Pria Katun Combed 24s Reguler Fit Kaos Pria Lengan Pendek Unisex Tshirt,,5,2024-08-11 21:12
ikbalramdan29,FortKlass Kaos Polos Pria Katun Combed 24s Reguler Fit Kaos Pria Lengan Pendek Unisex Tshirt,,5,2024-08-11 21:10
sandisuryaaagustino,Fortklass Kemeja Max Kemeja Lengan Panjang Polos Kemeja Slimfit Kemeja Formal Besic Kemeja Kantor,,5,2024-08-11 21:05
silamonik,FortKlass Kaos LEONEL Pria Katun Combed 24s Reguler Fit Kaos Pria Lengan Pendek Unisex,,4,2024-08-11 20:58
aqillamulyahadinata150,FortKlass Kaos SPORTY Regular Fit Kaos Sablon 24S 30S Kaos Pria Lengan Pendek Atasan Tshirt Distro,,5,2024-08-11 20:57
r*****r,FortKlass Kaos KANTONG Regular Fit Kaos T-Shirt 24s Cowok Premium Katun Combed 24S unisex,,5,2024-08-11 20:49
r*****r,FortKlass Kaos Oversize 24S RANTAI T-Shirt Cowok Premium Kaos Pria Lengan Pendek Jumbo,,5,2024-08-11 20:49
r*****r,FortKlass Kaos Oversize COOKIES T-Shirt Cowok Premium Kaos Pria Lengan Pendek Jumbo,,5,2024-08-11 20:49
r*****r,FortKlass Kaos Oversize HARVARD T-Shirt Cowok Premium Kaos Pria Lengan Pendek Jumbo,,5,2024-08-11 20:49
r*****r,FortKlass Kaos Oversize Life Work Pitbul Frenchie French Buldog T-Shirt Cowok Premium Kaos Pria Lengan Pendek Jumbo,,5,2024-08-11 20:49
agungpratama001,FortKlass Kaos SPORTY Regular Fit Kaos Sablon 24S 30S Kaos Pria Lengan Pendek Atasan Tshirt Distro,,5,2024-08-11 20:43
agungpratama001,FortKlass Kaos Oversize 24S RANTAI T-Shirt Cowok Premium Kaos Pria Lengan Pendek Jumbo,,5,2024-08-11 20:43
agungpratama001,FortKlass Kaos Oversize SWEET ANGEL T-Shirt Cowok Premium,,5,2024-08-11 20:43
4qb7lz1hr1,FortKlass Kaos Oversize CHRISTMASTREET T-Shirt Cowok Premium Natal,,5,2024-08-11 20:39
4qb7lz1hr1,FortKlass Kaos 30s SNOW Washed Pria Lengan Pendek Atasan Tshirt Distro Cowok Kaos Pria,,5,2024-08-11 20:39
aditiyapratama5,Fortklass Kemeja Max Kemeja Basic Pendek Polos Slimfit Kemeja Formal Basic Casual Lengan Pendek,,5,2024-08-11 20:39
theokusuma042,FortKlass Kemeja Rayon Polos Pria Lengan Pendek Hem Pria Kemeja pantai santai Earth Tone Distro,,5,2024-08-11 20:37
indriresss,Fortklass Kemeja Max Kemeja Basic Pendek Polos Slimfit Kemeja Formal Basic Casual Lengan Pendek,bagus bangetttt sesuaiii,5,2024-08-11 20:36
ardi4210,FortKlass Kaos 24s Oversize Snow Wash Kaos Oversize Pria Lengan Pendek Tshirt Distro,Semoga nanti ada ukuran XXXL,5,2024-08-11 20:34
iis_nuri,FortKlass Kaos LEONEL Pria Katun Combed 24s Reguler Fit Kaos Pria Lengan Pendek Unisex,,4,2024-08-11 20:29
q9xlr9c461,FortKlass Kaos Polos Oversize  T-Shirt Cowok Premium Katun Combed 24S unisex pria wanita Best Seller Oversized Besar,,5,2024-08-11 20:28
dzitahh,FortKlass Kaos Oversize Life Work Color Pitbul Frenchie French Buldog T-Shirt Cowok Distro,,4,2024-08-11 20:27
